Year,Review,Rating
2023,"This latest app version is very confusing, honestly, sometimes the updates are not having the same result or impact. Please reconsider, difficult to find something, very unclear to browse, too square...",2
2023,I ordered 3-4year baby jumpsuit and got 13-14year baby jumpsuit without outer tag i send him all pics and bar code but they denied to return and not accept their fault so I got terrible experience.we can't trust them,1
2023,With last update ..i cant bought anything..give error when i go to cart,1
2023,"Horrible UX, worse and worse since 2020 I just took a little bit of my time to come here and give this feedback. I usually don't do this, but it's frustrating as hell and it keeps getting worse. Now they also have sounds, which even if you disable, you can still hear it. Images don't load at least 50% of the time in favorites(besides the weird way of getting there) It's hard to give an overall good solution to this. Just revert everything to 2020ish plus add favorites and that's all.",1
2023,since the last update I can't see any pictures,1
2023,Worst application using experience ever.,1
2023,After the update the app is laggin and I have to clear cache again and again.,1
2023,"I used to love the app but the recent updates are driving me crazy, the sounds is super annoying and I don't know how to nevigate with the new interface, I try to look for coats from sale selection but somehow can not. Also the most annoying thing is when you click one item and back then it went all the way to the top which I have to scroll all the way down to where I was!!!! Very bad user experience overall.",1
2023,Good,3
2023,Very bad user experience. Scroll is not working on most of the pages. Favourite list does not remember selected tab when you go back after checking some item. Very unexpected behavior.,1
2023,La nueva app no carga rapido ni va nada fluida. Ademas ese nuevo formato es poco accesible.,1
2023,"Since the update the list goes to the beginning after having selected some item for details, which makes it rather unbearable. Please, correct as it used to be.",3
2023,"The New layout is terrible. Make the navigation and the shopping experience difficult, why to change such a nice and easy app for this new version?",1
2023,Worst update ever got stuck pics don't show up ect,1
2023,"How on earth turn the annoying app sound off (even I disabled the sound in the setting, it is STILL ON!!!) NOT a fan of this version, please fix this!",1
2023,Scrolling bug,1
2023,"1 star for quality fabric, 1 star for latest fashioned cloth, -1 star for high shipping charges, -1 star for product unavailability(mostly), -1 star for bizzare cloth style, -1 star for 100 rs.returning fee = overall 1 star for Zara. (Shipping is free on purchase of a large amount of goods or else a huge amount of about 290 rupees has to be paid in the form of shipping charge, which is absolutely illegitimate. So I dislike it. )",1
2023,"Ever since the last update, I've been facing a problem where the images of the product wouldn't load. The entire app is useless if I can't see any products. Reopening the app or restarting the phone didn't fix it. So, I uninstalled and reinstalled the app. Which fixed it for 3 days, and now it's gone blank again. I don't want to go through reinstalling this app every time I want to use it.",1
2023,Your user interface has become so bad . It's like zara has just launched. Your UI was good before . Please change it back . Iltye menu option give me feeling like there are some sticky notes ☹️ Please change it back to original one,2
2023,"I used to believe - and would tell anyone - that the Zara app was the best, until the latest update turned it into one of the worst. I don't understand why you changed from the most user-friendly platform to the most frustrating app. Please revert to the previous version.",1
2023,"I dislike the tag-like layout of the items, in the menu section. Why would you complicate the app like this? Scrolling worked fine.",3
2023,It's the best app to keep your wallets empty.,5
2023,great quilty of clothing,5
2023,Real othentic quality,5
2023,"After last update (27/7/23) shopping cart is not available at all,you have some serious bug.",1
2023,Imagine doesn't show.,2
2023,it would be nice the app to notify us when prices of our favorite items drop. Sometimes the app crushes or is laggish although the internet connection is perfect. Some products in the store are priced higher than the online store.,1
2023,Sound is annoying! Even disabled it still sounds.,4
2023,amazing products. I love the quality,5
2023,"Latest update seems to have come with in-app sounds, which cannot be turned off, because I have sounds disabled in the app and I can still hear them. Drives me insane.",1
2023,Pathetic these guys and there delivery partners have screwed my hard earned money after giving all valid proofs there is no answer from zara Refund my hard earned money man,1
2023,"Can't disabled sounds and animations even when changing the setting. It's so much slower than the website also and the search does not work. If I look for something in the website I can find it,but not in the apo",3
2023,The app doesn't even open. Just shows Zara logo and nothing else.,1
2023,New update is aweful. Don't you have UX/UI team working on reserch? Its so not user friendly..i cant even navigate properly and i am a customer who litrally uses the app daily. So imagine! Its totally bad lauout and UI. The previous one worked fine. Bring it back pls.,1
2023,"I HATE the update 1, The sound is irritating and is always on, even when it's turned off from the settings. Why the sound anyawy? 2, The list goes back all the way to the beginning whenever any product is showing. (If i pressed to see a jeans, then i go back... the screen will go all the way up) 3, Some areas CANNOT be clicked, if i need to see the color options (the product is coming is different colors), well i cannot press on the color optios and the text is overlapping with the menu options",2
2023,I bought a lot of clothes from zara app and they had amazing quality and looked the same as it did on the photos,5
2023,Easy to buy and collect,5
2023,Remove the sound asap!Can this app get more annoying? No search options for sizes available. Keeps showing out of stock items. Now it also has an annoying sound every time I look at an item. Whoever designed this should be fired. It is not cool it is annoying.,1
2023,Who dosn't love ZARA....🥰👍👍👍👍👍,5
2023,Good app,5
2023,"The last update is awful, too many lines, it hurts my eyes, why did you do that? The app worked perfectly. Maybe you need to hire a new frontend team.",1
2023,Terrible my app just updated randomly and now its impossible to use. 1 the layout looks so bad 2 when you look at a item then go back a step it will take u all the way to the top of the page and not where u last were. 3 when ordering the option to to pick up from store seems to not work been trying all day. Juat the overall layout is poor compared to what it was,1
2023,"This lastest version is the worst, not easy to navigate and not user friendly, every time we click on item to see it's details and then close it, it takes us to the top of the items list, very annoyinggggggg... In addition to the sound and animation that still working despite the disable option we selected.",1
2023,New app update is awful and the noise every time you click on an item is annoying,1
2023,Worst,1
2023,"who the hell updated this good app into garbage, even garbage works and is useful...",2
2023,Super,4
2023,"Pointless, annoying sounds. Disabling sounds doesn't actually disable the sounds",1
2023,The more they are updating the app the more it gets unfriendly using. There is sounds and vibrations everytime I click on the items...very annoying!! But I am unable to disable it.,1
2023,"This new update is horrific, how does this app keep getting worse",1
2023,"Pathetic app and pathetic update. The new update looks like it's designed by some kid. Additionally, the service by Zara is pathetic too. I have received damaged perfumes several times but this time totally different perfume was sent than what I ordered. Also, you'll have to suffer a lot if you have to return these non returnable products with the help of support team. I haven't received my refund yet. Never buying anything from Zara.",1
2023,ಯಪ್ಪಾ... ಸ್ವಲ್ಪ ರೊಕ್ಕ ನಾ ಕಡಿಮಿ ಮಾಡ್.. ಬಡುವುರ್ ಮಂದಿ ಹೊಯ್ಕೋತ ಹೋಗ್ತಾರ್..,1
2023,Not functional or practical to navigate. Too much lag and the layout is more style over substance. This isn't a glossy magazine. Please just design an app that fits it's purpose...,1
2023,Good,5
2023,"With the last update, there is a sound during each click that is really not necessary and it's annoying. I disabled it in my settings, but it still persists, even when I disabled a sound on my phone. Also, if I click on some product to view details and then go back, the app goes from the top, not from the point where I was last time. Thank you.",3
2023,So nice to see you are going to see 🙈 and father of a daughter of all the world of all my,1
2023,Nice to meet you 😊,5
2023,"Disabled sound, but it's not working. No one is going to leave that enabled. It's pretty annoying. Also, can we please have the ability to edit and cancel a return from the return history page? We may add the wrong item or later decide to keep an item or add more items. We have to call for you to recreate the return. The old one remains active in the list, which is very confusing. Of course, please have it generate a new return request accepted email and return label for the new items.",1
2023,Gud,5
2023,Showing I live in Canada and not letting me edit my location to UK which is where I live.,1
2023,amazing and fast,5
2023,"Zara is designed amazingly, but no one will buy anything while the prices are beyond limit.If you guys don't want to lower the prices at least make more often discounts that might actually bring alot of customers.This is the most store that makes everything expensive otherwise I love the way of fashion of tops and skirts.One more thing, I think all kind of tops and shirts should have a decent drawing maybe Tupac or maybe cities like boston be creative not mostly plain and please not animated.",4
2023,Fraud app take charges for delivery 280rs for one 👕 and if you want return item they are charged return charges also. It's disgusting. Very disappointed. Fraud Scam . Don't use zara 🚫🚫🚫🚫🚫🚫🚫🚫 😡😡😡😡😡😡😡😡😡😡😡😡 fraud FRAUD ZARA 🚫 🚫🚫,1
2023,"very slow, worst app, i hope zara bankrupts and i will never be asked to order from zara",1
2023,It has been horrible trying to get a simple account done. I tried for two days straight and no verification code was sent to my number no matter how many times i tried. Sad! Pitty! Never trying again!,1
2023,Amazing!,5
2023,I love it,5
2023,It set the region as US by itself and didn't let me change it?? Uninstalling right away.,1
2023,bug fix neeeded.,4
2023,الخدمة سيئة جدا,1
2023,"the website was too slow and I had to reset my password, when I was back to my basket it was empty. Had to browse all again. :(",3
2023,gd love ittt,5
2023,"Horrible. I ordered a beautiful pair of comfy looking tapered jeans and opened the package only to find out that a pair of SKINNY jeans was inside. I feel insulted. The app itself makes me feel like I'm navigating satan's own design for a fashion website. Furthermore, the order status wouldn't update on its own so I had to contact support to ask if my payment had been processed successfully, only to find out the package was already waiting for me at the store.",1
2023,moj originalna narudžba je vraćena bez moje suglasnoati jer imate nesposobnu sluzbu dostave,1
2023,Really need to improve the app i touch a certain things and it takes me to different thinga god,2
2023,Why I get the prices in USD???? I need zara India online app. I selected that and still facing this ??????? Not happy.,1
2023,Good,5
2023,"This app is confusing. My order was canceled, and I am still waiting to be refunded. Not user-friendly to try and contact anyone to advise on refunds. Please help",1
2023,buying products of 7000 and still charging 290 for delivery charge delivery charge is so high. zara is being worst and worst more now adays product are not coming good return policy sucks its deducted delivery charge and take extra 100rs more from refund totally lost what if the products dont fit and quality is not good 290 delivery charge gone and 100rs extra gone total 390 totally lost change this policy this is really annoying,1
2023,Had issues checking out,2
2023,THIS IS THE WORST APP I'VE EVER USED I THINK YOU SHOULD HIRE BIANCA JALBA AS THE CREATIVE DIRECTOR AND SHE CAN DESIGN IT,1
2023,"Very poor quality delivery, they deliver the wrong product and plus have the audacity to ask for extra money for pick up. You had to pick up the parcel due to your mistake, shouldn't you be paying for it. Will never order from this app again. Zero star rating",1
2023,"It goes back all the way everytime you return from an item, it's terrible to navigate through, just no. Made by beginners obviously",1
2023,Great App,5
2023,Costumer service agents are very rude !!!,1
2023,Good,4
2023,Last time i gave it 2 stars. For me its not user friendly at all. I thought they might have improved it. But no. Such a stupid app.,1
2023,Zara has an excellent site which is quick and easy to navigate,5
2023,mobile app doesn't work very well. it is not consistent.,3
2023,love it,5
2023,my favourite app,5
2023,we need special promotions codes online 🙏,3
2023,I always shop at Zara because is good quality,5
2023,Tidak user friendly untuk pembayaran,5
2023,Islam Zindabaad ⚔️⚔️🇸🇦🇸🇦,1
2023,eyes nosu,5
2023,Love the clothes,5
2023,Bad experience,1
2023,𝐆𝐫𝐞𝐚𝐭 𝐞𝐱𝐩𝐞𝐫𝐢𝐞𝐧𝐜𝐞 𝐚𝐧𝐝 𝐪𝐮𝐚𝐥𝐢𝐭𝐲,4
2023,"Worst app ever. I tried changing regions and it logs me out automatically. When I registered (for the 2nd time) in my correct region, it won't show anything. Extremely buggy too.",1
2023,"Dear Zara Officials,you can take this as a whistle Blower glovally.I had a worst experience at Zara Mirqab Mall , there has been instances In past where I had Replaced the outfits without the Physical bill but only with the system data generated by Contact Number. Now to My surprise the Manager at this location said That I cannot even Pull uo the Customer data from for exchange and Said blatantly that the Exchange policy has been Changed due to misconduct of policy by an Ex Outlet Manager . Act",1
2023,"Dear Zara Officials and Zara Consumers. I lookforward for your genuine response to my experience.As i am frequent buyer and Brand Loyal To Zara Internationally,i had a worst experiwnce to my account with Zara Al Mirqabmall qatar. To my surprise they denied the replacement of a pair of tshirts when i requested them, unfortunately i had misplaced the bill. The Manager unaplogetically said there is no such policy and due to misconduct of policy from previous manager they changed the exchange policy",1
2023,How to Differentiate Original Vs fake,5
2023,Great and rich feel but terrible bugs on filters. Using on Android. Doesnt remove out of stock sizes after filter and upon clicking shows 1st available option. Love the vertical scroll and the color of the app.,3
2023,the card was not working...,2
2023,Excessive shipping and refund charges.. used to love shopping from zara but the policies are just not practical anymore,1
2023,goo quality,4
2023,too many problems with login,2
2023,Where is the fragrance category,3
2023,easy to use,5
2023,Cannot login with the account i used for web,1
2023,"Love my dress and trousers that I ordered recently. Good quality, good fit and arrived on time 😊",5
2023,Wow this product i love it so much thank you zar ❤️👑,5
2023,Zara india not getting download,1
2023,"I can't log in, it says that email and password don't correspond to any account. But when I open site on browser it works fine.",1
2023,Not liking it.,1
2023,great,5
2023,"hard to navigate. filters constantly forget your settings after you've viewed an item. screens return you to the first item forcing you to browse back to where you were in the lost, after viewing an item. payment authorization: after authorising through bank, the app forgets you were in checkout and returns tou to the default welcome screen. dreadful, just use the website or go in store if you love queueing to buy. app looks fancy but the UX team must have been off that day.",1
2023,I love Zara its amazing app,5
2023,"hi,we need the possibility to pay on the store.",4
2023,"The one only clothing brand that i loke to muvh, t shirs, shirts, oversized t shirts, jeans, caps, this app is much good for me, love from italy 🖤",5
2023,charge for delivery is wrong when u spend over 125$ even if it's sales,3
2023,rubbish site,3
2023,Defective clothing received and initiated a return and had to pay return charges as well. Tshirts quality and prints looks like first copy items. These products were not discounted either. Sceptical ordering items online. Not sure if ZARA is selling first copy items.,1
2023,"Buggy app. My address was not available for delivery and then after some time when all the items i wanted were out of stock, my address was available for delivery then. What kind of logic is this? Ruined the whole sale.",2
2023,"I don't have any issue with the app. The only illogical thing is that they charge extra Rs. 290 for delivery if the order is not above 2990 and that too applies only to full prices, very disappointing.",2
2023,Unable to change region.,1
2023,Pathetic app,1
2023,perfect!,5
2023,🕶,5
2023,Goat,5
2023,"Sleekest app I have used so far, kudos",5
2023,delivery doesn't support most of the SF express drop point,3
2023,some items listed as available were not actually available,3
2023,The chat option is a joke.,1
2023,Took 15 days to deliever half my delievery and they still didn't... they charged for delievery although my order is above 100 kd. And costumer service is useless,1
2023,"I really like what I see on the sight, but I missed out on some of the items that I really wanted. hard to find choices in my size that I really liked.",3
2023,easy to use,5
2023,I'm install now so i don't know how is it working,5
2023,"always good quality, right size, there'll be a note if you need to go up or down your size for a certain item and prompt delivery too.",5
2023,absolutely love Zara! especially the sale,5
2023,love it!!,5
2023,App has been crashing a lot but usually works well.,3
2023,Excellent,5
2023,Zara is the best and I will buy full year of my shopping,5
2023,quite a hard website to navigate,3
2023,"Good prices, great choice",5
2023,I really enjoy shopping at Zara,5
2023,"Useless, would not even let me log in to my account. Just going round in circles trying to log in to no avail, despite accepting all cookies and clearing cache. Had to uninstall",1
2023,"Good day, but app for Kazakhstan haven't a native language, Kazakh language! Only a Russian, why?!",2
2023,"Very buggy app. It deleted my cart when I logged in, it the search kept falsely displaying zero results, the results filter didn't work, etc",2
2023,very nice 👌 👍,5
2023,Great shopping app so far. I can see the material and color better on the app.,5
2023,good child clothes,5
2023,"I've had this app since it first came out and today when was the Sale on, it did not work. .My friend who installed the app today, had been able to order before me. I had to uninstall and install again in order to place an order....really disappointing",1
2023,app kept going back to the beginning of the page when pressing back from a viewed item. filter also wasn't working. so was a little bit of a frustrating shop but I managed to get a few bits for work.,3
2023,This app is C**p!,1
2023,"perfect as it should be, very convenient and easy to use. I recommend it during sales!",5
2023,"If you have an Android the app is not compatible. It doesn't load, Zara have poor communication and customer service",1
2023,especially nice vibe inshore.. helpful staff also,5
2023,Easy to navigate app,5
2023,really bad when it comes to sale stuff,1
2023,very easy,5
2023,"Tiene varios errores al cargar y es inestable, en epoca de rebajas es muy frustrante.",2
2023,Can't log in from the app. The web is ok.,2
2023,one of the best on-line shopping!@ FAST and EASY,5
