Year,Rating,Review
2023,1,Trash app by a trash company.
2023,5,"COMFORM A CORP IS MOW LEVI"" S"
2023,5,"Token of appreciation , still good and fashionable I checked keep up the good work we have good bodies so we needed good clothing and shoes"
2023,3,"Nice updated clothes and many levis for chosing, Only I've could'nt find anything in the taller ladies jeans or bootcuts, jeanes."" Each one were more of very small In sizes and lengths.So I'd just un-in-stalled the app,' asap! Sorry about that! Kiddies."
2023,4,"ordering and check out went smoothly. bing,bang,boom! Bobs yours uncle!"
2023,3,I'm unable to save items to favorites
2023,5,Top notch!
2023,5,"once you get all your info input, it does what it's told."
2023,5,Easy to use app.
2023,4,Ok
2023,1,"Couldn't do anything. App opened and asked for permission, when I clicked to grant permission it took me to another page asking for permission when I clicked that it took me back to regular page asking for same permission, asked for the same permission on 2 separate pages and kept looping back. Uninstalled waste of time"
2023,1,App is consistently down. Use the website.
2023,5,works great
2023,4,my favorite jeans yea !! thank you Judy Sheedy
2022,5,Great
2022,5,Yes they may be look great in this jeans!
2022,5,😍
2022,3,Levi's has always been my jeans but now they only have waist jeans nothing to prefit short people an there's nothing that makes them stand out. In crowd a woman likes jeans to fit correct an men to notice them an Levi's just doesn't do that for women
2022,5,My shopping experience was excellent!
2022,1,Used to be great but for the last three months keep getting an error. I have to uninstall and reinstall every time I want to go to the app. Very frustrating.
2022,5,Super easy to find and buy.
2022,4,Everything I am looking for is easy to find. The styles and selection makes it easy to keep my family looking good.
2022,5,very helpful to shop
2022,5,it's a great app!! use it for all the discounts and free shipping
2022,5,quality jeans though shipment can be better.
2022,1,The prices Levi's got in their catalogs Is way too high They don't even make the 501 button flies in the US no more and there are 60 bucks
2022,5,Love it
2022,1,Horrible interface. No purchase history. Quite an amateur effort
2022,5,Compliance with Irs **
2022,5,nice
2022,4,just started I found what I need I will give you five star when I try on the jeans
2022,4,PayPal was not processing through had to change setting from card to bank account
2022,5,easy and convenient to use
2022,1,They don't have big and tall sizes
2022,5,Amazing app with great rewards
2022,5,Niice Platform.
2022,5,Use the app! so far not disappointed with my purchases. Always been a Levi-guy!
2022,5,Getting from manufacturer. more simple than trying to find in stores
2022,4,It was ok
2022,4,Love Levi out fits and jeans
2022,1,Did the update now it's not working? I can't put anything in the basket for checkout. It gives me an error message.
2022,5,Great deal
2022,1,Offered 40% off. ..it did not happen
2022,5,This app has a ton load of merchandise you probably won't find in every store!!
2022,3,Good
2022,5,app works much better than the mobile website
2022,1,Not allowing me in
2022,4,Levi's pants are the best. That's for real.
2022,1,This app literally never works
2022,1,"The application does not work for more than 3 months on android. I can't buy my favorite clothes. But don't worry, I changed the brand and now there will be no spitting attitude towards me."
2022,1,Got to order once from the app. Ever since then i constantly get tailoring your experience every time i log in. Hopefully they fix the app or update it.
2022,5,fantastic
2022,5,easy to use
2022,5,I want my size for my pants please thank you XXL
2022,5,Gods
2022,5,"I love having access to the sales, great merchandise and perks to being a member on this app."
2022,5,easy to use app.
2022,1,"With or without Wi-Fi the app keeps buffering Or ""tailoring my experience"" and I can never get in."
2022,1,"App crapped out on me 2 days before the ""big sale"" and didn't work till the day after."
2022,5,Ordering on line is easy great discounts average pair of jeans $50.00 that best prices I've seen in a while
2022,1,Does not work on android well at all
2022,1,Just updated the app. Message Tailoring your experience and keeps circling. No app activity. Crippled. It did that before updating the app too. Have to go to the website to see anything.
2022,1,"Keeps loading and says ""tailoring your experience"""
2022,1,Literally can't even open the app
2022,4,I'm very happy with this . No one is watching me lol
2022,1,"Edit: app works TERRIBLY. I cant checkout, it doesnt allow me to select my paypal as an option. Totally unusable. can't purchase Levi's products anymore since there isn't a store anywhere close App worked perfectly. All the Levi stores around me are terrible, so I had to shop online for pants. Installed the app, created an account, searched for pants, and checked out in under 10 minutes. That's legit"
2022,5,Love the discounts. Easy to use. Great clothes.
2022,3,So annoying that this app stops whatever I'm playing when I use it. Other than that everything is great.
2022,5,Love it
2022,1,Every time I open the app it gives me a message saying an error occurred. Unexpected error. Please try again. If the problem persists please contact support. And then goes back to loading and never opens. No way for to actually contact support
2022,3,Cant finf long curvy fit
2022,5,"Easy to use, simple"
2022,5,Easy to shop and place orders!
2022,1,The app is 🗑
2022,1,After the last update it tells me that there's an error and I can't use the app.
2022,5,I don't know why I didn't shop the Levi app before. No more Amazon!
2022,2,slow
2022,5,Awesome and quick and most of all Quality
2022,1,Levi's as a brand is exceptional and its legacy is that of an American icon. This app is beneath you and is a pathetic attempt to dual use a subpar website. Levi's should be ashamed of themselves.
2022,1,Im remember a time when i could buy Levi's for 6 dollar's. That was in the 60s and in the 70s i didn't pay over 15 dollars for a pair. No way can i afford Levi's today for 50 or 60 dollar's. Seems like Levi's could make more money selling them cheaper like 30 dollars a pair? Millions of more men would buy them instead of cheap Walmart brands.
2022,5,"Far out, man."
2022,4,Great
2022,5,I love the savings. And the available sizes.
2022,5,So I easy to order and deep discounts
2022,5,Well designed app....super eazy 2 use
2022,1,"App not working. I log in and then a thing pops up saying error, then I hit continue and a loading screen appears with the words 'tailoring your experience' and nothing else happens. Can leave it open for hours and nothing changes. Have uninstalled and reinstalled a couple times. No use. I love the app and despise going into actual stores. Help me!"
2022,1,I've un installed and reinstalled a few times. All the notifications I receive leads to an error message. Was a decent app a few months ago! Will un install for a while! Try again next month.
2022,1,"App and website are unusably broken on mobile. Can't login, password reset email is an unformatted, distorted mess. Truly terrible."
2022,1,"When app is working it's a full 5 stars, Whenever i try to open the app i just get an error and the spinning wheel of death. I've tried troubleshooting by closing and reopening app and uninstalling reinstalling and I am still getting the same result."
2022,2,Every notification I received has ended in a error in your app. I've been holding out for the absurd amount of time for the issue to be resolved.
2022,1,I won't let me yard me password so I installed the app
2022,4,Its a product name Im somewhat familiar with sinceabout1979
2022,1,What kind of shopping app has audio that overrides my music? This one apparently. Also requires you to be logged into rewards to even browse. Simply bizarre. Who came up with this nonsense?
2022,4,Cool wish they had more size 34🤷🏾‍♂️
2022,5,It's to easy thank you for this great app 😀✌️
2022,5,Is good after you go through it
2022,1,"Ever since the 18 Aug update I get an error message when trying to open the app, then a 'tailoring your experience' revolving circle of death."
2022,5,Exceptional
2022,1,Got me
2022,1,Dosen't let me reset my password when I click on the link on the email it just takes me back to the app and nothing happens
2022,4,Nice
2022,4,Hard to get into the app..
2022,5,It was easy to use
2022,5,Great app
2022,5,"Levi's, only!"
2022,5,All american jeans
2022,5,Love ❤ the pices are prouduct
2022,5,Love this app and Levi's products
2022,1,App needs work!
2022,5,Great
2022,5,"A bit complicated but acceptable in the end. Thank you for a great price on my favorite and ONLY blue jeans. I will continue wearing these jeans and I will be back, hopefully not too soon (your pants last a good long time!) Have a great day everyone and may your jeans ""live long and prosper!"""
2022,5,👍
2022,5,"Haven't used yet, but I'm going to."
2022,2,Can't seem to find the right pair of jeans. Not able to speak with a customer service representative foe assistance. Not 1 store in PA sells my size or style. I've ordered online & had to return every pair ~ was really looking forward to finding the kind I used to have but NO LUCK!!!!!
2022,3,"The app crashed a few times, but the shopping experience was relatively easy and painless."
2022,5,Windows
2022,1,Doesn't ship to Canada but on the website says free shipping in Canada if you use the app...waste of a dl
2022,5,Great and easy
2022,5,Easy to use.
2022,1,Error occurs when trying to check out. Moved to my computer with the same cart and had no problem
2022,5,Great selections!
2022,1,"You're better off shopping in a web browser. The app is supper glitchy, does not load images, and I'm stuck with a loading circle."
2022,5,Sweeeet!
2022,5,Easy shopping!
2022,1,"Won't take my password and won't let me reset! I get the reset email, click the link, and it takes me right back to the login page. This app is junk."
2022,5,nice
2022,4,Don't know not there yet I'm
2022,5,Easy to find the items that I love and easy to order
2022,5,Very good
2022,5,"I needed myself black, red & blue jeans.Yes Sir That's gift for my new place."
2022,5,META
2022,5,Ok
2022,5,Awesome
2022,3,"Ive been trying to find jeans that a re small enough. Ive got several pairs in size W23xL32. And W23xL33 witch were really big for me but ive lost weight now there way too big ,is their anyone who could take them in about 4"" in the waist and 2"" in each leg ? I need a size waist 20"" X inseam 32 ! Oh yea the app always comes up earor on me too ! And if it does load everything out of stock ,ive been waiting for months for a notification that what i want is in stock again !"
2022,3,Slow progression throughout app.
2022,4,In store purchase history crashes app. Button to close actual list in filters could move with screen when you moved too low. It's impossible to use app when you have slow wifi and phone changes to mobile.
2022,5,Helps with the buying process
2022,1,Levi's do not have prices on their merchandise they are making up their own prices and ripping people off at the end of the day at the Opry Mills location two thumbs down
2022,5,User friendly!!
2022,1,It doesnt do diddly
2022,5,User friendly and easy to find what I needed.
2022,5,Easy to use
2022,5,Exceptional
2022,5,Great so far. Easy to navigate
2022,5,Quick and easy
2022,5,Great. Also a favorite.
2022,5,Exelente
2022,5,Easy to order !!
2022,5,Great Help !!
2022,2,"I don't understand why it keeps crashing, everytime I open the app it tells me it's stopped working. It's so annoying, can something just do something about this"
2022,5,All about fitting jeans lovin' it
2022,5,"I LOVE 💘💗♥💓💛💖💘💗♥LEVI'S. I WISH THEY MADE MORE OF A VARIETY . I KNOW THEY HAVE JEAN SKIRTS. I WSH THEY HAD BIB OVERALLS, AND SKIRTS, AND APPROPRIATE DRESS 👗ES."
2022,1,It sucks
2022,1,FIX YOUR DAMN RESET PASSWORD SITE!!!. I tried resetting my password last year and a year later you guys still cant fix it!.
2022,1,Didn't use
2022,1,Country of origin permanently said to England even though I already have an account logged in with the same information sent to America via PC and it won't let me change odd
2022,5,Easy peasy. No ads
2022,5,Young people who have been in business since the last time I checked my own experience with this new version is the best way to do it is a very good 🌟
2022,4,"One word,Wonderful"
2022,5,"Great selection, and very easy to browse"
2022,3,"First order placed, will update my rating upon receipt of my first order."
2022,4,"Can get a little buggy/glitchy at times, but otherwise easy to navigate, and if you take the time to become a red tag member, they give you a heads up on some legitimate/significant prices and sales. Overall worth having this on your phone with notifications on."
2022,4,Great app
2022,5,Easy to use and reminds you of great sales!
2022,5,Great app
2022,4,"Had trouble typing ""name on card"" almost gave up 😕"
2022,1,Can't shop/browse without an account.
2022,1,"Could you please make spandex LEVI'S FOR MEN AND WOMEN,,,,:;,,,..&WOMEN'S WITH BELLBOTTOM'S,,,,,,:;,..?????????????????this app is,,,,,,,:;,..talking 4ever to open.I'd give it 0☆'s.if I could just NOT worth my time is Valuable,,,,,,:;,..just don't have time to wait,,,,,,:;,..👎👎👎👎👉👈👎🖕🖕🖕🖕"
2022,5,Great!
2022,4,And I love it
2022,5,Good
2022,5,It's a great shopping experience if you love Levi's
2022,5,It was great going on line
2022,1,Do not order from Levi's directly unless you would like to wait at least a month to receive your order. Buyer beware. (Update) Still waiting. It is now day 33 since I placed my order. No tracking update since March 7.
2022,2,"Buggy, closes randomly, colors shuffle when you select one so you never know if you're seeing a repeat color... Pretty annoying app."
2022,5,Great app
2022,5,INCREDIBLY FANTASTIC
2022,1,"Ihave worn levi's since 1969, the last 6pair of jeans, from sears I think we're bootleg, as in fake. No double inseam. That is a trademark I thought. Can I get reply? Glen. You would not except my email or ps, I really don't care, your loss, my gain."
2022,5,Love this App
2022,5,The best I love it!!!
2022,5,My Brandon is going to be a genius pill for me the astrologist told me
2022,5,I found what I was looking for
2022,1,Hard to Log into app.
2022,5,LOVE LEVIs
2022,5,Hell yeah....biggebogge
2022,5,Love ❤️ ❤️ ❤️ my Levis...
2022,5,Very solid app. No complains whatsoever. Thumbs up from me
2022,5,Makes life easier
2022,5,Best jeans
2022,1,I don't write reviews but I had to download this dumb app for an exclusive sale. Anyway this is the most garbage app out there. Freezes within seconds of booting up like it's 2006. All just to load jeans????
2022,1,I cant log in. Wont take my pass word! 😠😡 I gave up.
2022,5,Great app!
2022,5,Great !!!
2022,5,Easy to use
2022,5,So easy to use love it
2022,1,The shopping pages scatter and move about at will. It is not me. Very unorganized shopping. I asked to view WOMENS CLOTHING and next I am stuck on Men's stuff. UGH I seriously DO NOT NEED ANY EXTRA AGGRAVATION!!!
2022,1,"Can't log in to account, can't access customer service - app says incorrect password but reset link doesn't work! Uninstalled and reinstalled - nothing! Useless app - UNINSTALLED!"
2022,5,Free shipping with app purchases ¯\_(ツ)_/¯
2022,5,Great
2022,5,I have been wearing Levi's since since I was very young and I am now 43 and I'm still in love with the brand love with the brand thank you all
2022,5,Great Experience! Easy to use. Discounts automatically applied at check out which is appreciated along with the great deals.
2022,5,Great app
2022,1,Had a lot of trouble making orders... crashed several times...had to download app 3 times
2022,5,"Easy to navigate. It's free to be a red tab member and you get free shipping, free returns, free hems in store and more I think. The app is really fast to load, it takes me no time at all to find the jeans I want. And they normally have excellent sales, which the app will notify you about. Love Levi's ❤️"
2022,5,Great
2022,5,"Fast, easy"
2022,1,Asked me to fill in a bunch of stuff to make an account. I just wanted to buy some pants
2022,1,"Screen was black i've tried twice, i tried Dee-Boo Bang-Bang Niner faithful"
2022,5,I dont know yet ask me again later
2022,4,Always great to order from
2022,2,"They want you to sign up first, but I just want to browse first. I want to see what's good, and if I find something, then I will sign up. But the app is annoying with pushing the sign up thing every time I just deleted it."
2022,3,Hard to find a way to delete items to buy once on your list.
2022,5,Levi's button fly 501 blues for women
2022,5,Wish I got more discounts but hey
2022,5,Very friendly and helpful
2022,5,Great
2022,5,Simple and painless
2022,1,"I love Levi's jeans, but recently they removed their fiber content disclosures from all of their listings. Each item used to be labeled with what it was made of (100% cotton, or 80% cotton,20% lyocell) and that information is no longer provided, which makes the app unusable for me. I will purchase Levi's elsewhere, like Nordstrom, so I can see what it is I'm actually buying."
2022,3,"3 stars for the app everything is as you want and did not give 5 star because of the service after that which is delivery. I have been waiting and it's almost a month now,ok I understand covid and winter delays 2-5 additional days but what is longer in your notice in app does it mean a year or two you should be clear about that if I knew it will take this long never would have ordered. What kind of torture is this...."
2022,1,This app doesn't function. Delete!
2022,5,"Easy transactions, excellent customer service."
2022,2,"I can't use it for whatever reason, they don't seem to know what I wanted"
2022,4,I love Levi's
2022,3,Stocked up...
2022,1,"Is it my device? Every single time I've tried to open this app, I have gotten a ""unexpected error"" message. I have downloaded it 4x and nothing. Guess I'll order using a browser."
2022,1,Can't log on
2022,5,AWESOME!
2022,5,Super cool
2022,5,I would like to buy shoes too.
2022,3,Overall the app is okay. Ran into some bugs and my return button never worked. Definitely beats using a browser to check out their listings.
2022,5,"Love levis, the only jeans I wear and the app is great for savings and whats new or on sale ."
2022,4,Pretty good for the most part. A little confusing to navigate from email sometimes.
2022,5,Fabulous 🙂🙂🙂
2022,5,Love my Levi's!!!
2022,5,Great App
2022,5,Great app
2022,5,"PROMPT, COURTIOUS SERVICE.."
2022,5,"Awesome app, very easy to order"
2022,5,Great
2021,5,Love the sales
2021,2,"Freezes, doesn't allow to back out of it, no exiting out of app.. Just needs some serious work!"
2021,4,No n Jim
2021,2,"Way too many notifications! I know I can turn off notifications, but then I'll miss the ones that I want."
2021,5,Loved it
2021,5,Great app
2021,5,I love Levi's always have.
2021,5,Such an easy way to navigate the site.
2021,1,Worst app ever . I think something is I'm stock and than it's not when I'm ready to purchase.
2021,5,Good
2021,3,"Good app. But cant change country in setting to Canada, so cant properly search nearby stores or enter my shipping location properly. So not really useful outside of US users."
2021,5,Easy to navigate
2021,3,Just had a hard time with understand everything.
2021,5,It was real nice to see some old school Levi's at the same time pictures could be a little more better
2021,5,Very Direct Poppily 😈👿😈😍😍😍😛😛😛
2021,5,Great app
2021,5,"Very fast order placement, hope delivery is just as fast !"
2021,5,Love my Levi's!
2021,5,"Simple and to the point. I can pull it up, find what I'm looking for and order. It's got some great side benefits as well! I wish more apps were like this!"
2021,1,Doesn't let you check out in Canada
2021,5,"The app works fine for me, I can't speak on these other reviews that say it doesn't work."
2021,1,Awesome!
2021,5,Nice sales rep.
2021,5,"So far this app is fabulous. The deals will keep me coming back. I haven't tried to return anything yet but they do boast ""easy returns."""
2021,5,"Thank you for stepping up as a Corporation, to the employees who work for you all I wish them well."
2021,5,Easy to operate
2021,5,Very nice selection
2021,5,I'm a Levi's Fanatic!! Everything Levi's
2021,1,Garbage I keep enrolling under different emails and every time telling the app I'm in CANADA but then I see under my account settings that I am locked in United States and I am not allowed to use a Canadian address for shipping. Why was I linked to this app from the Canadian Levi's store and told I could get 40% off if I installed it if this garbage isn't even available to me. Get rid of this garbage the world doesn't need it or your garbage company
2021,5,Easy and fast
2021,1,Doesn't work for Canadian addresses
2021,5,"Easy navigation, with excellent graphics; product descriptions; fast and secure checkout."
2021,1,"Love Levi's in general, the app is a hot mess. I've been trying to reset my password, and cannot open the web browser page on my phone because it keeps redirecting me to the app, which does not have the capability of password retrieval. Besides this, if you aren't logged in, regular shopping features become five times harder on the app and are frustratingly difficult to navigate."
2021,3,The app consistently freezes up and crashes. New update necesssry
2021,5,Informative & good deals available. Easy to use with deals on Google Pay as well when available.
2021,5,Easy to use
2021,5,worth downloading for the in-app discounts
2021,1,Looking for pants but can't find a store for people other than black people anymore?
2021,1,"Rethink when you need choose to send a survey inside your app. Nothing worse to send out a survey when I hadn't even been in the app thirty seconds, SECONDS. Intrusive, too eager, and definitely a big way to get it uninstalled like I did. I like the product, but you couldn't pay me enough to reinstall it. Recommend, I DO NOT EVER THINK SO! 🙈👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎. Did you like the review and rating to this review? Probably not, point proven. INTRUSIVE. EAGER. I DO NOT RECOMMEND"
2021,5,Easy to navigate.
2021,5,Good
2021,5,Love their jeans feel awesome
2021,5,App is great! Have had a lot of problems with delivery times and got purchase with security tag still on a hoodie.
2021,5,Great app with good sales! Always great prices!
2021,5,"Easy to use, aesthetician pleasing"
2021,1,Can't even create an account!!
2021,5,Awesome
2021,1,Doesn't work. Keeps me going in a circle telling me to update.
2021,4,Have not used it yet
2021,5,Easy-to-use
2021,2,"As a former Levis employee, I love Levis and I always will. But this app has been giving me nothing but issues. I've had the app since it was available for download and all of a sudden it keeps telling me there is an update available and won't let me access the app. When I go to the app store, there is no update? What gives? Looking forward to a response."
2021,5,Love to buy my pants in levi's
2021,1,I cannot change country and in shipping information I cannot enter state due to which I cannot place orders.
2021,4,Pretty decent
2021,5,I love them
2021,4,It doesn't transfer my sizes or likes along to what is being offered. So don't offer this option if I have to research sizes or preferences to see if my size is on this particular item. A waste of my time. Better going to a store to see if they may have what I want or need. Same thing. And they may be able to order what specific item I want.
2021,5,Love my 501s.
2021,5,Love them on a butt!!
2021,1,Goodbye
2021,1,Nothing special here
2021,5,Everything excellent
2021,5,Easy to use
2021,5,I love the app it's easy and accessible. I love the discounts and the free shipping. It makes it where you can afford items that you normally wouldn't be able to afford!
2021,4,"Easy to navigate and find what I'm looking for. Almost always what I need in stock, and has always been a great product."
2021,5,Easy to use app!
2021,2,App is stuck in united Kingdom and won't switch to us
2021,5,App is better and more reliable than a year ago. Good app now.
2021,5,Always Excellent!!!
2021,4,Product says I can get a specific promo if I order it from the app. Then I downloaded the app and it tells me the product isn't eligible for promo. The app works fine but I think that's obnoxious.
2021,5,"Jeans! The stores that carry jeans never seen to have jeans in stock, even before the pandemic. Glad Levi's came out with an app. Jeans come and go but at least they are always available on-line."
2021,5,A great place to purchuse your levis at almost half price when u find a sale..
2021,5,My go-to style.
2021,4,Thumbs up!
2021,5,Free shipping on first order
2021,5,I'm new! So far so good
2021,5,"Back navigation gesture/button on phone doesn't seem to work with app, otherwise overall great app."
2021,5,Great App
2021,5,Go for the lie the heart fett truth
2021,5,Great app for buying Levi's! 501's 🔥
2021,5,Good
2021,5,I really love this app and this brand
2021,5,It's aaaassss
2021,5,Just saved 30% on the app
2021,4,"Great app, wide variety of products. But where is the Canadian version of the app? This is the US version."
2021,5,"Super easy to use, all the way to checkout!"
2021,5,Great
2021,4,Would not accept my debit card but it did work with the PayPal
2021,5,Easy order.
2021,5,I tried to upgrade on my device to no avail still on hold... What's up?
2021,5,Love it
2021,5,Classy option!
2021,5,"Simple and easy to use, love Levi's!"
2021,3,I like this store
2021,5,So far so good
2021,5,Good but did receive one order that was factory second quality
2021,5,Excellent experience
2021,2,I tried creating an account and it would clear my password even though it followed security rules
2021,5,Great
2021,5,I just paid 227 for 400 dollars of levis products worth.
2021,5,I like that experience so far
2021,5,GREAT APP
2021,5,Great prices.
2021,5,Levi's are the Only Jeans I wear!!!!!
2021,5,Good
2021,5,"Love your jeans, 32x36"
2021,1,"While connected to my Wi-Fi, I tried to create an account on the app only to receive an error stating I wasn't connected to the internet. Well, I am posting this 1 star review a minute later using my internet connection, no problem! So Levi's had better fix this app, since it's entirely unusable in its current state."
2021,2,Not finding anything here unfortunately 🤔
2021,5,I love ❤ 😍 💖 the prices
2021,1,Great.
2021,5,First time but it seems ok
2021,5,Good
2021,5,"Founder: Levi Tribe, alter Protector and Provider. Secretariat and Owner per Capitol of 80% first 3 years, uncles request to be taxed. My turn, me 30% tolu tasi paia eternal in our celestial kingdom of kolea. Wong, wong, wong, hahaha ua, ua, ua, lmao"
2021,5,Very nice
2021,1,"Dogshit, i can't even sign in"
2021,5,I love it 🤩
2021,5,Best Jeans in the world 🌎
2021,5,Best jeans ever!!
2021,5,Easy to use
2021,5,Very nice and quite a classical app!
2021,5,Just downloaded
2021,1,"You stopped making my size years ago, and I was hoping this would help me find something that fits But l can't get this app to do anything!"
2021,5,Very good app.
2021,5,Great 👍! It has Levi's Made and crafted so that for me makes it awesome! Easy app and not buggy during browsing or checking out.
2021,5,"I got some good deals just from using the app, if you purchase Levi products allot I would recommend using this."
2021,5,This app is really great I love it
2021,5,and it shows me everything else it's just right just common-sense to have it
2021,5,Exceptional
2021,5,Works very well especially when purchasing items and easy to use good clothes and fast shipping A+⭐⭐⭐⭐⭐
2021,4,Exceptional app
2021,5,Awesome
2021,5,Easy cops
2021,5,Nice app
2021,5,App is easy to use!
2021,5,Great app
2021,5,Is great material
2021,5,Love this app it's great I love Levi's
2021,5,On one email red line out lines the pocket.
2021,5,Part of my daily routine...
2021,1,It goes to preferences and freezes.
2021,5,Always loved Levi's jeans. Amazing ppl and great jeans for anyone to wear. Love the collaborations always looking out for more :)💗😘🙏🥰
2021,5,Rate your experience for how easy to use the app is. Rate this app Levi's
2021,5,Easy to use. Helps keep track of special items.
2021,1,It should let me see the deals without having to create an account im better off buying directly from the website 👎👎👎👎
2021,5,Great
2021,5,NICE LEVI'S
2021,3,"It's okay. I just don't like the fact we can't use gift cards, Afterpay, or Klarna on the app. It's either PayPal or you card. I also don't like the fact that our saved for later items don't show up."
2021,5,I love using it bec it makes shopping a breeze.It is so easy to navigate.
2021,1,What do I need for a password??? I mean seriously!
2021,2,"Every single time I open the app, it takes so long to load that I have to restart it. I cannot switch between apps because every time I open another app, it closes entirely and forces me to reload it. This makes it virtually impossible to use the customer service features because it requires you to keep the app open the whole time chat is connecting you (which can take UP TO AN HOUR in my experience) and then the whole time you're chatting. Your phone becomes unavailable that whole time."
2021,5,Good
2021,5,Super easy to use
2021,5,Fast and easy
2021,4,Very good app!
2021,5,"Love it,helped me find my size ,at stores it was always out .I'm delighted"
2021,5,Seems they didn't see I was a redtag member
