Year,Review,Rating(out of 5)
2022,"Could use a better search function. Nordstrom app allows you to filter through different fabrics. Like 100% cotton, wool, cashmere, silk, etc. And has filters for blends and various other fabrics. Would be cool to see this implemented to make the user experience a lot more efficient. When looking for pants, the filter is constantly resetting every time I go back to the original page it's very annoying. Makes the app experience very unpleasant. Please just copy the Nordstrom filter.",2
2022,I love BR,5
2022,Can't live without it!,5
2022,Classic chic styles,5
2022,Easy shopping app great items I love this app .,5
2022,thank you!,5
2022,love the style and quality,5
2022,Beautiful classic timeless clothing with an edge....,5
2022,"i love the quality of clothing, and how it feels and the comfor.",5
2022,Quality Clothing,5
2022,"I've never seen an app try harder to prevent me from spending my money with them. Every single time I open the app it tells me I'm not signed it, so I attempt to sign in only for it to give me an error and to say ""try again later"" Even if I somehow manage to get past all the bs, the next time I go to buy something I've already been signed out due to ""inactivity"" thus forcing me to repeat the whole process again.",1
2022,Great app design. Constantly is malfunctioning and is sometimes unusable.,2
2022,party bus,5
2022,"App is slow and buggy. Trying to filter down by style and size, and it keeps hanging, then says ""something went wrong"". Way too cumbersome to shop.",1
2022,"I've been a Brand Ambassdor for nearly two decade. The quality, classic, affordable brand is my go too for the look I desire.",5
2022,I LOVE that they produce their clothes with a Tall inseam option!!,5
2022,The app looks great but rarely works.,1
2022,Love it!!,5
2022,"Well the app worked great before, why change something that worked? Now the app is trash and I can't even use it.",1
2022,Can't sign in. The text below the sign in link is blocking the link..... the website moves too slowly..... Ann Taylor it is,1
2022,"This app continues to be one of the most difficult retail apps I use. 1) takes forever to load, 2) can't read the name of the item since the character limit cuts it off. And, since BR now shows full outfits, of which the item is just one part, no idea which item is listed. 3) every time you go back to your search, all filters clear out. So, you have to search and filter over and over, 4) stop giving me the same overlay tips every time I open app. 5) checkout issues prevail. Annoying to use.",2
2022,It keeps on crashing ( android user ),3
2022,"This app was installed so I could easily pay my bill. It can't help you pay your banana card or Gap card. It has outdated information, including a phone number that's no longer in service. They switched my banana card from a visa to a master card and I didn't think it'd be a big deal but I just sunk over an hour into paying my bill. Oh, and the credit card company can't process a DEBIT card as payment in the year 2022. Not helpful to custimers. They want you to fail so they can pile on fees.",1
2022,Rarely loads properly.. No Way is this an average 4.6 rating!!!!,1
2022,App is inoperable. When I click on an item it closes out/crashes.,1
2022,Banana Republic has all I need. Perfect and classic.,5
2022,Constantly logs you out and never loads. You just get the BR logo like it's going to load something but doesn't. My big thing is how does it recognize you and say welcome back than says login?,2
2022,"When they created the new website and app to make it look ""hip"" they completely ruined the user experience for people looking to buy clothes. The actual product is being covered up by multiple layers of clothing. I used to buy clothing exclusively from banana republic but now I will never shop from them again.",1
2022,Unusable. Hangs constantly if you click on a product and then try to go back to browse. I can't even get far enough to fill up my cart. How can you build an app unable to perform its most basic function - enable shopping? Even Walmart and Target mastered this long ago. Hire better devs.,1
2022,"Great site and store for fine quality clothing. in store atmosphere is very professional and friendly. Employees very courteous, warm and friendly",5
2022,"Worst app ever, is not worth the download, is buggy, it logs you out after seconds, it doesnt responds and, as others have said, the filters suck, im deleting for now and hoping they fix it...",1
2022,Would it kill you to keep me signed in? Google password assistant doesn't work and it is a pain to copy and paste it in. Update: this app is almost unusable. It constantly logs you out and routinely fails to load pages.,1
2022,finally found a brand that stocks my styles..,5
2022,????,5
2022,Good,5
2022,Too pricey,1
2022,Wonderful,5
2022,"Throws an error when I click on checkout, complete and utter waste of time.",1
2022,Great outlet. Horrendous app. Some of the worst sorting/filtering capabilities I've ever seen in retail (the app clears filters every item you look at an item).,1
2022,Difficult to navigate and rarely works. Embarrassingly bad.,1
2022,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,5
2022,The best,5
2022,quality clothing.,5
2022,I love my or dinsl time,5
2022,Problem with filter. Used to be a good app.,1
2022,"Just use the mobile site. Not practical for shopping at all. Constantly logs you out, any time you look at a piece of clothing it clears your filters. Checking out was a nightmare. Got the app for the first time app user discount but it is a waste of space on your phone when the mobile site is better.",2
2022,shopping made easy,4
2022,This would be a better app if I was able to manage my Credit card from it.,3
2022,"Love BR, San Francisco!",5
2022,Easy and quick shopping!,5
2022,Can't logon!,1
2022,why is it so difficult to make a payment. is there an easy way to do so.,1
2022,"Horrible Buggy Glitchy App - constantly need to sign in, pages load super slow while fully connected to high speed internet 5 bars.",1
2022,Cumbersome,1
2022,Love these clothes and I'm 71!,5
2022,"Filter Doesn't Work! I put my search filters in, click on something I like, and when I go back, all the filters are gone and I have to start over. It's amazing these guys sell anything to anyone.",1
2022,I like the clothes prices sometimes the prices are high and sometime it's affordable. I don't like the price ranges!,3
2022,love banana republic. classic styles for a look that will never go out of style! especially those thick cashmere cardigans... amazing,5
2022,Awesome clothes,5
2022,Love your clothes. Can't get enough,5
2022,"needs a ""likes"" list so that I don't have to add so much to my bag",4
2022,Need some improvements but it's ok!,4
2022,Changing password protocol is a real pain in the rear.,1
2022,"Cannot download update. Uninstalled app to install latest version but just cycles saying ""Pending"". Please fix so I can shop!",1
2022,"Does not retain login, constantly have to update and reinstall",1
2022,App functionality after update is worse than before. Not integrated with new BR Mastercard vendor Barclays. Get an error message or blank screen for almost every function you attempt to access. Desktop app works fine.,1
2022,Decoupled and annoying filtering. App does not show website purchases. Too many ways to filter shopping. Sometimes click a category expecting to see men's clothes yet women's clothes are showing. Feel like experience is not tested.,3
2022,beautiful clothing great sales,5
2022,great fitting clothing,5
2022,Makes me log in every time I open the app.,1
2022,I Love Banana Republic!!!,5
2022,Excellent app.,5
2022,"reasonably developed mobile app with nice responsiveness and user intuition, but login and my bag are buggy.",3
2022,great app,5
2022,The app will sometimes log me out which is kind of annoying and can take a second to load but other than that it's great.,4
2022,Love BR style!,5
2022,great sale prices.,5
2022,too pricey.,4
2022,"Why do I have to sign in over and over again? I'm buying a shirt, not launching a missle.",1
2022,I love it!,5
2022,my favorite clothes store ??,5
2022,Amazing quality only keeps getting better and better!,5
2022,love all their products ??,5
2022,Excellent,5
2022,Era useful Easy to use Practical,5
2022,"i have always loved br, never disappoints.",5
2022,awesome,5
2022,Great clothes and app,5
2022,"Any time I open the app (a few times per month), it's lost my login session, and I need to sign back in from scratch (username+password, not just fingerprint). If this is a bug, please fix it. If it's intentional... Please fix it.",1
2022,I love the quality fabrics and fashion forward designs of BR,5
2022,"The worst credit card app of any retailer I have ever tried to be a customer of. It's as though they WANT you to miss payments. I literally beg them to just take my money, but they make it so very difficult.",1
2022,the app not so great,3
2022,Ok,5
2022,much less desirable experience,1
2022,Great ????,5
2022,Simple and easy to use! BR is one of my favorite brands.,5
2022,"BR has gone back to it's roots! Beautiful, neutral, classic!!! And the app is great!",5
2022,"The app only work's went you go to purchase something, nothing else, if you try to check your balance is not working.",2
2022,Thank you Banana Republic Got my items on time and met all my expectations Im telling every one .,5
2022,Sign in bar covers the password block so cant sign in. Previous app would not connect to my banana republic card or link to my bonus bucks. Not very user friendly. Easier to go to website. Skip the app,1
2022,Does not give me an Afterpay option but the website does.,4
2022,App doesn't let you make payments,3
2022,Cannot find the banana republic factory online app. I have to go to the web and shop because there isn't an app or I cannot find it.,2
2022,"love it, except I always have to reenter my BR card eventhough I saved it 6 times",4
2022,The app and Gap App keep crashing when I try to open it. Want to use it though!,2
2022,"Can't sign into the app. Cant sign in to manage credit cards ""having technical difficulties""",1
2022,love curvy slon pants,5
2022,Lovely,5
2022,easy to use with easy access to the other three stores.,5
2022,"if you like their clothes, you'll like this app",5
2022,"Quality, Great Sales, Perks and Great delivery",5
2022,"I tried to buy something on the app, it charged me twice but says I never ordered. And now it just keeps crashing",1
2021,I love BR. I feel good in these clothes.,5
2021,"Really great styles, quality and value. Awesome web presence with their user friendly app and website for easy at-home shopping combined with great deals on free shipping. Fast friendly service.",5
2021,"App is super user friendly. Quick updates of product, and great item selections across multiple brands.",5
2021,????????????????,4
2021,come to me,5
2021,"We enjoy our BR shopping because of consistent style, quality and style. The in-store staff have been both helpful and cheerful while the online store works for those of us who live several hours from in-person access.",5
2021,Lots of crashing,1
2021,User interface on Welcome screen on my Samsung Note 10 is jumbled Horrible!,1
2021,easy app shopping!,5
2021,It closes when I try to open the app.,1
2021,"Best way to buy nearly free clothes is by using their credit card, earn rewards, then shop with the rewards to pay for the clothes! can't beat it",5
2021,Registration and checkout process needs work. Auto populate fields doesn't work,2
2021,impossible to log in!,1
2021,App is very well optimized and has a great interface. Very easy to use and straightforward.,5
2021,BR has great clothes and amazing prices.,5
2021,great app great store and great rewards,5
2021,I am truly a Banana girl,5
2021,nice app,5
2021,"Nonstop crashing. I have tried on different android devices. Samsung, Motorola and LG.",1
2021,"Saved items not synchronised between the app and the website. There is no option to save the items ""for later"" in the cart or otherwise. Some items on the website not even coming in the search of the app. Did you delete my review from yesterday?",1
2021,I love this app.,5
2021,easy to use,5
2021,Excellent,5
2021,Awful amd confusing,1
2021,App. Is getting very glitchy recently I am not sure if I like it anymore !!!!,1
2021,Tye Dyed...Throw Back to my Woodstock day's...bought several.,5
2021,Without charts and a substantial amount of time it would be hard to explain how absolutely worthless this app is! #clunky #unintuitive #unnavigable #molasses,1
2021,App opens up trying to load and then just closes. Hard to use the app of it doesn't work at all.,1
2021,"All pages of the app won't load. ""Something went wrong"" is the only screen I can see.",1
2021,I love the plethora of choices!!! ??,5
2021,Downloaded the app once again and just uninstalled it. I wasn't even able to sign in,1
2021,great clothes,5
2021,I wasnt able to open the app so I uninstalled it and now I'm trying to reinstall it's not even working.,1
2021,App doesn't work at all...,1
2021,classic outfits....,5
2021,easy to use. one app four brands. love it!,5
2021,Always fails to load,1
2021,Love the new update!,5
2021,"easy to navigate, zooming in is a little glitchy sometimes, but besides that the app works very well",5
2021,Not sure what you all did but the app doesn't work any longer.,1
2021,"It's broken, you cannot search for anything",1
2021,"So this app needs to really get figured out. It was literally working alright before, then I get prompted to update it and now it doesn't work at all, whether directly or through the Play Store. This app is unusable.",1
2021,"App never works. When I try to click on anything it says, ""oops something went wrong"". I'm going to uninstall it because it is a waste of space. I've been trying to use it for weeks.",1
2021,"I always get the best selection of style and clothing. I have an idea to wear and be, with BR I don't have to worry about what I am like with the people I'm with.",5
2021,??,4
2021,"Too many glitches... When I click on the BR icon to open, I'm directed to open via Google Play. Trying to checkout, I can't get past the login page then suddenly, my shopping bag is empty. I'm going to stick to the website for now!",2
2021,"When I try to use the app, it takes me to the play store and I have to open it from there. When I try to check out, it will not accept my password, even when I changed it. I had to use the password saver, which I never use. I got signed in and it told me I did not have permission to use the website. What has happened to this app?",1
2021,Just dosen't work.,1
2021,"I love BR, the quality of their clothes & their style of clothes are GREAT ESPECIALLY FOR THE $$$$",5
2021,"""something went wrong"" impossible to use",1
2021,"love, love my BR",4
2021,"Nothing loads when I open the app, it says ""something went wrong"" and no matter what I'm trying to look at, nothing loads",1
2021,Excellent!,5
2021,Can't get full view of any page.. the words are scrunched together!,3
2021,The quality of the clothes are beyond excellent! love everything!,5
2021,"Banana Republic is one of my go to stores and I primarily shop online. Now with the most recent update, it does not work at all. Very disappointing. I'm uninstalling the app now.",1
2021,"Crashes and barcode scanner doesn't work. Other brands apps have had barcode scanners for years. BR finally gets one and it doesn't work. Also if you are a big person, they don't want you in their stores. Big sizes are online only. However if you are in the store, quick scanning the tag to find your size is impossible. Fail Gap inc.",1
2021,"Unable to sign in, my password or email is incorrect but I can still sign on through the website....what's the point of this app?",1
2021,Very nice,5
2021,"Had to uninstall the app 3 times. Still won't let me search anything, or click on any headings or sections. Everything has an error message. Not a good update.",1
2021,I enjoy shopping on the app. it is easy and fast.,5
2021,"Like the ease. Hate that my Note 10 can't use the scan option to search. Always says item is ""Out of stock"" ... meanwhile on any apple device it works. Will be deleting app if no fix",2
2021,Can't access the factory store,1
2021,great store app,5
2021,This is a poorly written app. Cheap web app port with poor functionality.,2
2021,"This app runs well and easy to use. However, the suggested outfit pairings are unfortunately shown.",4
2021,It crashes every time I open it,1
2021,"""Something went wrong"" is all I see. App does not work at all for me.",1
2021,"20% discount when you order through the app, only you can't sign-in to your account on the app. Only Gap Brands would push such a woefully inadequate product.",1
2021,"App definitely has glitches and isn't always the easiest to use. Seems to be getting better than it used to be, though!",3
2021,I practically buy everything I wear from Banana Republic...it almost seems like their clothes was tailored just for me!!!,5
2021,Yes I love this store!!!?,5
2021,Great quality,5
2021,great app!,5
2021,improved new app!,5
2021,"Keeps crashing, useless.",1
2021,Can't use. Crashes when I try to login. Have changed password. Uninstalled and reinstalled app.,1
2021,"Why do I have to get redirected to the Google store to open new app...and, in new app...I cannot get to my payments. This totally blows and from reviews...has been going on for a month. Fix, or I quit.",1
2021,"Does not work it keeps showing a ""something went wrong"" message.",1
2021,Keeps crashing,2
2021,Good upgrade from the previous app but this still gives lots of errors when trying to pay credit card and contact customer service and several other errors. App keeps crashing and can't even use. Get it together BR!,1
2021,Crashes repeatedly on Android. Session expired when trying to log in. Uninstaller reinstalled rebooted phone. Still crashes. Unusable. Bring back the old version.,1
2021,"You want me to sign into the app, then I have to sign into the website. Just forget it. I'll shop somewhere else.",1
2021,High quality clothes!!,5
2021,Bad development ! Not sure why it has to route thru the app store every time I try to open it ? Keeps shutting down in between. This is not rocket science and a company your size shouldn't have these issues. App represents your brand image.,1
2021,app doesn't work,1
2021,The new app is not working properly,1
2021,"Like others have stated, the app keeps crashing when opened. It's useless. I guess I'll find another place to shop.",1
2021,This is where I find clothes in Tall.,5
2021,great product,5
2021,There is no way this app is rated 4.4!! This app won't allow me to sign in and I've been a member for years. Don't try to use this app.,1
2021,Can't get to work. The old app was just fine. Please fix.,1
2021,Not at user friendly. Previous one was much better. Really was there any need to develop such a stu.... appp.,1
2021,App is easy to use. Clothes are good quality. Never pay retail.,5
2021,This app is so much worse. I am not able to search for anything without a bar code.,1
2021,Have no idea why people are giving this 4 and 5 stars. I try to sign into my account and it crashes. Everytime. It's been doing it for a week now. ?????,1
2021,Crashes! Can't use the app at all.,1
2021,Exactly,3
2021,Fabulous fabrics and details,5
2021,It sucks and makes go to the website to verify my identity? That's CONTRARY to an APP,1
2021,Can't manage the credit card!,1
2021,great quality,5
2021,It's ok when it works but now it crashes on startup.,1
2021,Not directing me to the correct place,1
2021,This new updated app is horrible.,1
2021,"Quality clothes that are clsddy, fashion forward. Investment worth it.",5
2021,banana always has classic high-quality clothes that rarely fade over time...in style or fabric. my fav for years!,5
2021,Great customer service,5
2021,The app doesn't work I keep having to go to the play store to access,5
2021,Horrible user experience. The app crashes most of the time when I try to make a payment. And the UI is horrible. The chat Icon blocks my 'account summary' link,1
2021,"Won't open, just crashes. Worthless...",1
2021,"It has way too many glitches, can't pay my bill online anymore.",1
2021,Not working.,1
2021,"This app is a million times better than the last, the difference is night and day. About time too.",5
2021,Terrible cancelation service. I tried to cancel an order immediately after it was made and got a maybe we can do something.,1
2021,It doesn't give options make a payment.,1
2021,Keeps auto closing,1
2021,Way worse than the old app. Seriously?! CC payment not possible...,1
2021,"Terrible app,you need to make old accessible",1
2021,I don't like it also doesn't work well,1
2021,"New app doesn't work for credit card management and less user friendly for shopping than the orginal. I didn't know it was possible to make this app worse. When I input my log in information in the manage my credit card, it tells me that ""there is a problem with the information you provided, please go back and try again."" I am able to use my log in information on a desktop and it works fine.",1
2021,What happened to Banana Republic Factory?,2
2021,Installed it. Didnt work right. Uninstalled,1
2021,Very disappointed. Could not go to my charge account to pay my bill or look up rewards.,1
2021,Awful,1
2021,Sucks,1
