Year,Review,Rating(out of 5)
2023,"App has not been able to load consistently for months. Just gets stuck on a loading screen. On the few times it does work, I can do one search and then it will get stuck. Super inconvenient when I want to see my rewards or supercash to use in store. I used to love making in app purchases, but I haven't been able to make any since around the new year. Gap, Inc... FIX YOUR BROKEN APP!",1
2023,"The app is super glitchy. If I click on an item to see more sizes, color, etc., it doesn't hold my place and just puts me back at the top of the screen. This makes me abandon my shopping spree entirely. I'm not going to repeatedly scroll through the same 100+ items just to get back to the same item I was looking at previously.",1
2023,"I love Old Navy and the sales, but the app is really unreliable. Often doesn't let me sign in so I have to use the browser on my phone instead. Today the app let me sign in but loaded some stuff slow, and also when I would tap to view an item and then go back to the main list I was at, it would shoot me all the way back to the beginning after I'd scrolled down past hundreds of styles. Very annoying.",4
2023,"This app is so bad. It takes forever to load any items while you are browsing. When searching under ""Women's"" it will consistently give you an error stating something went wrong. While scrolling through clothes, it will randomly kick you back up to the top of the list to the very first item. It's just so bas, avoid this app at all costs.",1
2023,"Consistently one of the worst shopping apps I have ever used. I have to open, close, and reopen the app several times in order to get it to work. Even then, it tends to crash and exit out of the app on its own if I'm on it for more than 5 minutes. Oftentimes items that are supposedly in stock will say out of stock when I try to add it to my cart. Using this app is never an easy or pleasant experience.",1
2023,"I love Old Navy, but this app sucks. It hardly ever works, (crashes, stays stuck on the loading screen, constantly takes you back to the top of the page for no reason) and NEVER works during a sale. I'm almost never able to successfully complete an order before I have to give up out of frustration. PLEASE fix this.",1
2023,"It won't load pages. Multiple error messages. It's twitchy and glitchy. When you are scrolling and look at an item, it takes you clear back to the top of the search when you exit out of viewing that item. Beyond annoying. I can barely shop with this app let alone access my credit card payments/info without a fight. Can't stand it.",2
2023,"Old Navy's App is terrible. Please pay for better programmers. The app never loads up any items pages recently, it freezes all the time, and it's overall janky user interface when it comes to selecting a different color of item to be shown has to scroll through every other color before it gets to it. I stopped using it because it's so bad.",1
2023,"Update: 6/11/23 - This app is awful. Super glitchy. So bad I can barely use it and just end up going online. I can't understand why this app feels so amateurish/low quality. I'm annoyed by the login feature. Maybe this is my phone, but whenever I use the app it doesn't automatically save my password so I have to type it in each time. Again, could be my phone is the issue. Once I get into the app though, navigating feels clunky. It works and I can shop but something about it is just clunky.",2
2023,"This app hardly ever works. Pages won't load, will randomly return me to the top of the page as I'm scrolling, hard to search for items, etc. I am continuously checking for updates when I use the app to see if it will resolve the issues, and after months of the same problems, I've reached max frustration. Time for a revamp Old Navy!",2
2023,"The app works ok if you are willing to scroll for hours to find what you are looking for. I get almost daily notifications for sales, but if you try to click yhe notifications just to look at the sales, you will sit until you are old and gray waiting. I have uninstalled and reinstalled several times, I keep it updated to the latest version at all times, and still I cannot shop the sales unless I just use the website.",1
2023,"Old Navy app and website is the glitchiest and worst shopping app/website I have ever used!!! First went on regular computer to shop online, it wouldnt let me log in, kept saying error and need to refresh. Tried that for half an hour, gave up and decided to download the app to finish my shopping. I wanted to delete an item off my shopping cart in the app, kept telling me error and still had the same item twice in my cart which I couldnt remove. I spent an hour trying to PAY for my stuff!",1
2023,"The app closes repeatedly. It often won't load and gives me an error message when I try to shop. When it finally does load, and I'm able to shop, it's a very frustrating experience. When there are many items to look at, after clicking on something, instead of going back to where I left off, the list reloads to the beginning and I have to scroll back through everything. When there are 200+ items this is very tedious. I haven't purchased anything in a long time because of this.",1
2023,"This app makes shopping impossible. If you click to view an item more closely or even put it in your cart, when you return to your shopping it puts you back to the top of the list, and you have to scroll ALL the way down again. When you make changes in your cart, it then changes the order of the rest of the items in your cart too, so you have to go back up to the top again. Any time there's an update, I have to uninstall and reinstall, because the app stops working. This app is terrible.",1
2021,"The new app is time consuming. I can't pay my ON card thru this app, there is always an error--so I have to log in on my laptoo. When you click on an item to see color options/sizes, when you go back to the list, it starts at the beginning, sooo frustrating. When searching for Men's items, using the size filter ""Tall"" is not an option, so you just have to scroll thru to see what is available. I'm sure there are other issues, but these stand out the most. I love ON, but this app needs work!",2
2021,"The new app is awful! It never works properly, I can't access my order history or wallet, it gives an error that something went wrong or temporarily unavailable. Very frustrating. Also, when browsing, if you select an item to view more details about it, upon going back to all items it brings you to top of page, not where you left off. Selecting a print when multiple print options are available is very confusing. I don't like anything about this new version.",1
2021,"Can't access credit card information to pay bill. When shopping, when you're done looking at an item, you get sent to the beginning of listings instead of where you left off. Also rearranges the order of items displayed. So I don't click on many items unless I really, really, really want to see more about it. Probably could have made more sales off me if this app were more user friendly. Super annoying...",1
2021,"Returning to search results from item details sends you all the way back to the very beginning of the results, even if you have a couple hundred results to sift through. All right, I decide to simply add items to my favorites list from the search results page, and sort through them later. But the app does not save my favorites, as I discovered 40+ items in. Borderline unusable if you want to make a large purchase or think at all about what you're buying.",2
2021,"I love the ability I have to scan barcodes to find the item I'm looking for although I wish there was an option to choose a size after scanning the barcode. It also requires me to sign in constantly and its frustrating, especially when I can't even track my orders because every time I go to my orders it displays an error message. Ever since the update I can't do anything without it saying something went wrong and just doesn't work.",1
2021,"The old app was a pain. It froze constantly and took forever to move things in your cart. The new app doesn't freeze as often, but it has one glitch that is highly irritating. Whenever you look at an item and back out, you are brought to the beginning of the section. This could be after scrolling down dozens of items. Wouldn't it make more sense to resume where you were at previously? Changing this would make the app infinitely more user friendly. Also, why was the Tap to Apply option removed?",3
2021,"The new update is trash. It can't be that hard if other stores can do it? My complaints are all the same as everyone else's. Slow, the app never opens right, impossible to browse or sort efficiently. I think I'm done shopping ON until it's actually easy and affective to use. Saving time is the point of having an app. This one absolutely doesn't do that for me.",1
2021,"The new app is extremely annoying because while you're browsing a giant list of items, you choose something to look at closer, then back out to the list and it puts you back to the top of the page rather than where you left off. I've submitted app feedback multiple times but I'll be using the mobile site til it gets fixed. Edit : after posting, I'm so glad to see almost every other review is about the shopping/scrolling issue! Maybe they'll eventually fix it but it's not looking promising",2
2021,"The updated app is worse than the previous version. The only improvement is having Super Cash codes available at checkout without having to log in again. The filter feature is useless, the low to high/high to low price sorting feature is gone, the fit bars (overall size, chest, waist, etc) are gone so you must read reviews to determine if something is true to size, after viewing an item you are returned to the top of the page instead of the last item viewed, and the Factory option is gone.",2
2021,"I like the Order History in the old app much better. It was easy - all the important info is on 1 page with pictures, order date & number, status, all partial shipments, cancellations, delivery date etc. It utilized colors and was intuitive. You didn't have to click all around to get what you need. The new design is all text, unappealing and hard on the eyes. I have 40+ orders and it's a pain to navigate.",3
2021,"The new app is not user friendly at all, especially the checkout page. I would chose my ON credit card as the payment option and then put in the discount code and it would switch the payment method and put in a different code that raised the price. I had to redo the checkout multiple times to finally get it to work. Sometimes the account page doesn't load so I can't even make my credit card payment. Please fix the flaws or go back to the old app. It was clunky, but better than this.",1
2023,"This app is absolute trash. When clicking on the Shop option and going into a certain category, you'll get a ""something went wrong"" error just about every time. If you click on an item and back out, you will return to the top of the page instead of where you were on the list. The filters for size and reg/tall are basically useless. Maybe it's just an Android issue, but it's very frustrating considering how many emails I get from Old Navy.",1
2021,"What a downgrade!!! The flashy new features don't hide the terribleness of this app. The search and filter feature are unusable. The search feature doesn't pull up what you are searching for...I literally typed the name of the item and none of the items pulled had the words in the title. The ""filter"" feature doesn't narrow the scope. Seems like they tried but released something half finished. Old Navy, you can contact me for more info. I ran out of words on this review so I erased the details.",1
2021,"App is easy to use but when you scroll through and click on something, and then go back to the list, it starts you over at the top. Very frustrating. Considering it is a continuous scroll i could pass 100's of dresses before finding one i like. Only to go back and have to pass the same 100+ items all over. Too time consuming.",2
2021,"This app CONSTANTLY give you a ""something went wrong message"" where it doesn't let you do anything. You try to log out and it give you a ""sign out failed"" message and it just doesn't let you do anything. After countless attempts, I have no choice than to use my computer only to track a package. And, when it's not getting stuck, it constantly logs you out. In my opinion, it's a useless app.",1
2021,"Old Navy... What happened?? This was always my go to for basic men's essentials like Tees and shorts. But the new App. Is horrendous! You cannot find anything you want quickly. The only good thing about the app., Is the product pages are finally faster. Also, the Awesome vast selection of items has disappeared!! Very limited selection and it seems all Tees have pockets now with fewer color selections. Everything seems to be in fewer colors and options. Just sad it's come to this. ??",1
2022,"Too many glitches to function properly. I can't even add more than a few things to my cart before it tells me ""something went wrong"". After trying to build my order and getting interrupted for the third day in a row, I just switched to the site in browser. Unfortunately that's terrible too! Between the app and the website, it completely messed up my order, duplicated some items and dropped others - which are now sold out and/or I won't get free shipping on. So incredibly frustrating.",1
2023,"The app is super glitchy. I will sign in to shop or check my card balance, but then it gives me an error page constantly (my login credit are not incorrect, it's almost like a connection issue with the app). When I am shopping it won't save things to my Favorites list. Also when I click on an item and I want to go back to keep scrolling, it takes me back to the start of the page instead of saving my spot. So, I have to scroll down to where I was at. Super frustrating.",2
2022,"This app constantly has issues: can't load pages, jumping back to the top of the page once you click an item, not saving favorites, and more. I just went through and favorited things I liked since I had to scroll back through the entire page every time I viewed an item. I went to my favorites, and it's completely empty. This app has no issues notifying you about sales multiple times a day, but when you go to shop, you can't simply browse, save, or purchase items without some issue arising.",1
2022,"I'm sure it's great in theory, but unfortunately, when I select a category, it just hangs... sometimes it will load, but more often than not, it doesn't. And if I jump over to look at my bag, I can't return to whatever I was looking at on the shop tab. Search filters aren't helpful - especially with sizes. the app's in store inventory is never accurate. It's easier to just go shop in person, because so many items are incorrectly marked ""unavailable"" at those stores according to the app.",2
2022,"Glitchy App When it works, this app is fine, but it's constantly freezing and glitching. I get a ""could not refresh"" screen frequently, and it also keeps telling me my rewards points are ""temporarily unavailable"" and to ""try back later"". It's gotten to the point that it happening so often that I've just gone back to the actual website for my online purchases. They really need to work out these annoying bugs.",2
2021,"I am not liking the new app experience at all. It is super hard to navigate through the app and find things. And the worst part which is a big pet peeve of mine is when I am shopping and click on an item to add or just look at, when I go back to browse on the previous page, I have to start all the way at the top again. In short, it doesn't save your spot. The layout is ok but I think it needs some definite tweaking.",1
2022,"I agree with other reviewers. The app is glitchy and super frustrating. It asks me to sign-in every time. I also enabled the fingerprint to help me avoid the issue but it doesn't work. As I'm browsing, it abruptly stops and takes me back to the main page. This also happens at check out. I swear it makes me want to delete it and never look back.",2
2022,"App is very slow, and 99% of the time nothing loads. If the app does load, and you click on an item, 99% of the time the app will crash. I've passed over many sales, and many clothing items, because it is easier to drive to Target (and use their app and drive-up feature) than it is to deal with Old Navy's app and curbside pick-up service.",1
2023,"Operating on a Google Pixel 6 XL. They say they've made updates to fix bugs and streamline the sign in process, that is a bold faced lie. Now when I try to browse through app, if it even wants to load a page, it will sign me out multiple times. Pages randomly reload when browsing. Filters don't work the way they need to at all. Used to love using this app but over the last year it has gone down the gutter with functionality. Get it together developers! ??",1
2022,"This app is trash. It is always so glitchy. It never keeps me signed in. When browsing, after you look at an item and want to go back to the main browsing page it returns to the top, not wherever you were and it puts the items in a different order, so you can't even go back to find where you left off. So many error pages. I love Old Navy, but I HATE using this app!!!",1
2022,"I love Old Navy and order here often. The last week plus, it will not let me view products or add to cart! This bug is sending me to the log in screen every time I try to view or add to cart. When I log in, it returns me to the home page. Then, when I try to view the product, it sends me back to the login page once more. I would have purchased orders in the past week if I could! You are losing money! Please fix so I can order what I want!!!",1
2023,"Shipping is $9 if you don't meet the threshold for free shipping ($50). Met the threshold, go to checkout, and there is a $7 shipping charge. ??? No way to contact customer support. Every time you hit the back button, it will start your search all over again. Many of the sections of the app simply won't load or do not function. The filter options are a joke. Much of the items ""available"" for sale are not available at all. Horrible user experience.",1
2023,"The app lags a lot before and after updates, when it loads at all. It is not all that easy to navigate because it is slow or it doesn't save your information so I always have to log in or navigate as a guest account. I enjoy shopping in stores anyways, and the app used to be easier to navigate, but there is rarely a time where everything runs smoothly anymore.",2
2023,"The app, while relatively nice, likes to refresh and put you back to the top of whatever you're looking through after some amount of time, regardless of if you're scrolling or just looking at a few things. And if you're looking at a broad spectrum, good luck getting even halfway through without it sending you back to the top of the page.",3
2023,"""Something went wrong"" is the only thing i get. My app is up to date on galaxy s22, but i cannot for the life of me shop on it. No page opens up. So i get fed up and go my web browser. Another issue the app has is when you are browsing and clock on an item to view, when u go back to where you left off browsing, it does not take you back to where u left off, it takes you back to the beginning of the page and resorts all the items..so you literally have to re-scroll through all the items.",1
2023,"Worst app I've used in a long time. Prevalent issues with being returned to the top of a list while browsing, hitting the back button after examining an item to be returned to the top of the list and pages simply not loading. This level of poor performance is unacceptable, especially for such a large company that's been around for so long - since the 90's",1
2022,"I used to love this App but unfortunately, it doesn't function properly anymore. Pages need forever to load. Most of the time I get the info that something went wrong, or it won't let me access ""browse by departments"", and the ""my favorite"" feature is not working anymore for over 3 months. I tried to open a tech ticket with customer support but this doesn't seem to be an option. They just told me to use the browser instead of the app.",1
2023,"Glitches I'm the system! Takes forever for the app to come up so you can even sign in or pay your bill. Also if you go back, it starts from the beginning of your search. Have to keep putting in the filters to kinda sorta find what you want to look at. Also super bucks are a nice thought but you must purchase a high dollar amount to use them and wait for months to be able to use them. Not a system glitch but something maybe to look at also.",2
2023,"There is such a problem with this app, and many pages, not loading all of the time. It's been an issue for manyyy months. I might as well get on the Old Navy website using a browser. Old Navy, please please please support your android mobile app developers and give them the resources to actually improve this app functionally. Preferably, before you decide to completely change the UI/UX. While I'm at it, nobody wants to hit the back button and the previous page changes entirely.",2
2023,"Nice looking interface with intuitive design, but I have a couple bones to pick with this app. First, When backing out of an item, it should pick up where you left off on the browsing page. Instead it brings you back up to the top of your page. In addition to that, filters don't always work. Using a Pixel 6.",3
2023,"This app has a couple major glitches. One is when you put in filters it doesn't filter accordingly. And, secondly, my biggest complaint, when you scroll down through a bunch of items, click on one to view it, go back to main page, it takes you to the top again instead of the spot you were at! Super frustrating!",3
2021,"This version of the app is horrible. The titles don't show information that you need, the filtering is so basic that you end up with more things than you want, when you view an item and go back it returns you to the top of the search results which have more things in it than you want in the first place. Absolutely not an upgrade from the previous app. Horrible to use.",1
2022,"This is so frustrating. For days I've tried to check out with a fairly substantial purchase and the app will fail and not allow me to check out because ""Something went wrong"". Well please do tell what it is that went wrong! I have the updated version, I've cleared memory and cache, I've installed and re-installed, I've tried using Wi-Fi instead. Based on the number of reviews with this issue or the login issue, logic would dictate the app needs a major overhaul.",2
2022,"I don't think i have ever rated an app poorly before, but this one...oof. This app sucks. It is buggy, slow, and constantly has errors. Won't let you add things to your cart without an error. always have to log in multiple times when i am trying to shop. it lags like a mofo. it's difficult to search. it's so graphics and image heavy that it takes forever to load products. Their website is no better, i have similar issues there... please get a grip, Gap inc., and figure out how to fix it.",1
2022,"I have never experienced a more annoying awful app than this one. it's slow and logs you out every 10 minutes while you're browsing. the interface is so thrown together and not intuitive. I would say I'll just go back to online shopping from the website but when I do, I'm constantly bombarded with pop ups of downloading their app. lose/lose never shopping here again",1
2023,"Love the idea of being able to use Old Navy, Gap, Banana Republic, or Athleta, but the app hardly ever works. It stalls often, doesn't load the items most of the time, signs out in the middle of processing, and isn't organized well to see all the colors of the clothes. I think I've only successfully been able to use it once or twice.",2
2022,"This review is a reflection of the app experience not the brand itself, the app is still having issues even after the latest update. While scroll browsing, making a selection and then backing out, the point of return is not saved, either snapping father back or forward, and potentially rearranging items. Also while applying promos, the save button grays out, forcing a back out, leading to uncertainty if the promos or codes are applied until checkout. TBC.",3
2021,I love the app and it is easy to shop across all their brands. I love that you are able to scan the bar codes while at the store to see if you can order a size that they don't have or see what other colors an item comes in. I don't know if it's just my app but I do have issues at times with being able to see my orders and have to use my internet browser to view them. The app is a lot easier to navigate than the old one too.,4
2021,"The App buffers and gets stuck a lot, but works good when none of those issues are going on. The ads/deals are rough to understand though since they're literally all over the place when you open the app. It makes it really hard to see what deals are going on, and which ones I want to see. I still use the app all the time though!",3
2021,"Downgrade! I'm trying to use my rewards but I keep getting an error when trying to upload my card info. I can not scan or manually type in. Simple things function worse as well...I am looking through a list of 200+ items get half way through and see something I like. When I click on it and try to go back to list, it jumps back to beginning.",2
2023,"This app never works on my Android- Samsung Galaxy S8. I can open the app but as soon as I click on something, it never loads. All I get is the something went wrong message. And then I can't shop! If it loads when you are shopping for an item in multiple colors, every time you choose a different color option you have to wait for the image to scroll throuhg all options to finally show the one you selected. It's ridiculous! All other apps work fine, except ON.",1
2022,"I was glad to see that Old Navy had an app, as the website tends to be pretty slow. Somehow, the app is so, so much worse. It's so slow, pages won't open, I can switch from one tab to another and I suddenly have to sign in again. I love Old Navy, but I'll continue using the website and using it infrequently since it's such a slow hassle",2
2023,"This app is terrible, even with an update. If I'm scrolling, it automatically puts me to the top of the page. I spend more time waiting for it to load, or refresh than I do shopping! They keep defaulting my address to one I had 10 years ago and when checking out just now, I miraculously had extra items in my cart when they weren't there 5 minutes ago.",1
2021,"Liked the old version better! When you go from a single item back to the full list it starts you back at the top - too much scrolling to get back to where you were. At checkout had to drill down to see shipping (defaulted to the $7 standard instead of the perferred free - the note at the bottom said the extra time was appreciated). Also, it took multiple tries to get the promo codes and rewards for Signature card holders to work. Finally, really mad that screenshots are not allowed in app=dumb!",2
2022,"This app is really bad the load time is always very slow even though no other apps are experiencing lag. I mean it is every time. Also, they say I can get free shipping if I order over $50. Each time I have tried to purchase a $50+ purchase through the app it still tries to charge shipping at the end even though it show it should be free. I always end up having to log in on the computer to complete the purchase for free shipping. Kinda defeats the purpose of having the app.",1
2021,"Anyone else hate this ""new and approved"" app I can not get on to pay my bill at all. I have to switch it to full site in order for everything to appear or I get an error message stating to go back and try again. Either they don't want anyone to pay their credit card bills or want people to move forward to paying and it freeze so one thinks let me try again and low and behold the company tricked the customer and more funds than expected is out of your bank account. Horrible!",1
2021,"Nice direction with the update, but some improvements are obviously needed. Looking forward to upcoming releases with bug fixes. But, as always, Old Navy kills it when it comes to jumping between brands. Also, seems like instead of a forced update, I now have two instances of the app...old and new. Update/replace is preferred, especially when the old persists with a update suggestion.",2
2021,I like that the app is up to date as far as inventory is concerned. I get to know before checkout if the item has sold or not. Other apps cannot be refreshed until you get into shipping details. At times coupon codes + sales have shoppers buying multiples in some popular garments. It is helpful to have this feature. My dislike is the default to charged shipping. Why not default to basic free no rush shipping? Why default to $7 ship? I LOVE being a credit card holder. Very good reward program.,5
2021,"This is really a downgrade! I hate everything about it. Can't find discounts, it reverted back to old info on my address going back years! Had to reset password, can't browse or click on anything without going back to the beginning every time! It's so annoying! Were they high when they so called improved this?? It really sucks so much. You are going to loose customers.",1
2022,"This app is inconsistent and just downright glitchy. It constantly makes me sign in over and over. I enabled the fingerprint option to avoid this but it never, ever pops up/gives me the option. It barely refreshes. Once I'm ready to make a purchase, it becomes very glitchy, and keeps telling me something went wrong, so I always have to go and use the browser. The only thing this app is good for is looking at merchandise. Even that is glitchy.",2
2022,"The old app with the navy colored logo was much better and more functional. I never had issues with the old app, but since I got updated to this new app with the red logo, I can't even browse as the app kicks me out when looking at things. I have just selected an item to view details and the app brings me back to the sign-in page with a message saying that there was no activity for a while, so I have to sign-in again. Not even 30 seconds has elapsed since I clicked on the item. Useless app.",1
2022,"Won't let me checkout, keeps on showing a ""Something went wrong"" for the past few days. The discount I want to use only applies for orders in the app otherwise I would use the website. Also never saves my filters after I've clicked on a product and want to go back to my search. So frustrating. If this isn't resolved I won't be purchasing anything from them soon.",2
2022,"Constant issues. I get alerts from the app but when I click on it the app opens and doesn't load. If I go to the home screen and select a category it takes me to a blank page that is stuck loading. There are updates for the app almost daily and even when I update, it still doesn't work. This app is useless.",1
2022,"Good grief, please fix the issues already. Constantly logs you out. Requires typing password to log back in despite having biometrics turned on (app switches it off randomly). Can't complete purchases. Old Navy- you just lost money because I am tired of trying to complete purchases in the app only to move to website to complete the purchase. I shouldn't have to jump through so many hoops to complete a purchase.",1
2022,"Have found some great deals over the years. Sometimes it's a case of you get what you pay for especially in the T-Shirt departments. All in all I am satisfied. My one issue is working the checkout process when there is Coupon Cash involved. Had to call Customer Service twice, because their system was acting up. They had sent me an email that I had a nice amount of Coupon Cash accumulated which I could use on anything. It was not an easy task to be able to apply this coupon cash.",3
2021,"Awful app, especially compared to the older version. As always, they never have anything in stock or it takes forever to receive anymore. There services have definitely gone downhill. Deleted app since it only force closes, especially during high traffic times. Slowly they haven't my business. Hope it is corrected eventually for those who use their apps, services, and for purchasing items.",1
2022,"I LOVE Old Navy, but definitely not the unbelievably poor performance of this app. I live far from any Old Navy stores and usually order online, so I decided to download the app! Right off the bat, everything became glitchy, load times were up, and screen rendering was extensive, leading to me giving up on my orders, which I was sad about. Back-end servers could be more thoroughly evaluated, & addressing the data would probably benefit the front-end servers for a more user friendly experience.",1
2023,"I'm pleased with Old Navy itself. Their clothes are decent, and their return policy is excellent, which comes in handy being so indecisive. However, the app is another story. When I open the app, it takes forever to load no matter what I do, and my favorites never show up. This time, I'm caught in a continuous loop of being promted to update the app. Finally, I just uninstalled it. I'm going to reinstall and try again. Hopefully, that helps. Old Navy really needs to fix their app.",3
2022,"I love old navy, but the app SUCKS I do most of my shopping on the app but it barely works for me. Pages don't load or take forever to load. It used to work fine for me about 6 months ago. Now it just takes up space on my phone. Sometimes reinstalling fixes it but it's for a very short time. The desktop site works, fine. Just use that instead.",1
2023,"The app is practically unusable. You're better off using the website or going in person at this point. Every time you click on an item, when you back out of the item, you get sent back to the very beginning of the list of items and the order changes up. So frustrating because you'll have scrolled past 100 items only to have to start from the beginning, and you don't know what items you have or haven't looked at already because the order changed.",1
2021,"You know, I didn't think there was any possible way you could make a bigger pos app than the original ON app, but son of a bee sting, you've done it. The app crashes upon opening every single time and is unusable (which is not desirable, in case you weren't aware). In a world where the majority of people shop almost exclusively online, this level of incompetence is absolutely baffling. Keep up the good work! ??",1
2022,"I love the Old Navy app! It has always been an easy, convenient way to shop. But since last week, nothing works! When I try to remove an item from my cart, it takes me back to sign-in over and over. It gives an option to ""Refresh"", but it doesn't do anything. It won't let me edit my cart, therefore I can't make a purchase. I've cleared cache and checked for new updates.",1
2021,"The only persistent issue I have with the app is rather tedious. When I click to view an item then click to return to the previous page of items to continue scrolling through ON inventory, the page refreshes and returns to the top of the list. This becomes tedious after some time scrolling through product and having to scroll even more just to return to where I left off in my scrolling. Maybe some kind of coding revision can fix this issue?",3
2022,"Glitchy, takes forever to load anything (on wifi or 5G), I constantly have to sign in (even with trying to enable biometric log in), and the display/sorting is annoying. I don't want to see a list of every color an item comes in when browsing, I want to see that when I click on it. Streamline the visual.",1
2021,"I like the convenience of the app but it's super glitchy. I can never look at my points or rewards on it. I always have to go to the website instead because it just keeps ""loading"". Same thing with looking at my credit card status. If I could seamlessly handle everything through the app I would like it more.",2
2022,"Horrible app! Allows me to make my selections, however the minute I try to check out, it gives an error message ""Something Went Wrong"". This happens every time. I've tried reinstalling, refreshing, etc...I'm done trying. You've lost so many of my sales, I do not live near an Old Navy, moving on to other online stores.",1
2022,"The update done on this app has made it really difficult to use. It will repeatedly prompt you to log in every few times you add something to your cart and every time you try and move aomrthing to ""save for later"". It has gotten so frustrating it has actually stopped me from purchasing on more than one occasion.",2
2021,"Not as user friendly as just using website. I found that the 'filter by' feature when trying to narrow search options is not very helpful....difficult to really narrow down to a specific search. Also during checkout, trying to figure out how to add promo codes and change payment features was difficult. Just downloaded the app and will probably just go back to the website.",2
2022,"I have never written a review for an app but my experience with the Old Navy app has been so bad, for so long that I'm finally over it and felt the need to share my experience. When I can actually get the app to open, I often get a message stating ""oops, something went wrong"", I have to log in every single time I use the app, and when I'm viewing an item and go back to the main list of items, it just takes me back to the beginning of the list, making it impossible to view a large number of items",1
2021,"Needs work. The older app was more user friendly. The checkout bag glitches and says opps. Can't even see what I've saved. When filtering you can't do as much as with the older app, and if you back up a page from adding to your bag it'll send you straight to the top of the list. Kinda sad coming from such a large company.",1
2023,"This app is simply the worst. It constantly gives me a message that something went wrong, so I am restarting it several times every time I use it. When I do get it to work correctly, when I am scrolling down a category looking at items and I click on one, when I back out of the item it takes me to the beginning of the list. If I was 150 items down I have to start over because I clicked on an item. I do a lot of online shopping and this app is definitely one of the worst.",1
2023,"This is month 2 , and there has been an error message for when I try to pay my old navy credit card.. last month, it did the same thing as I was charged a late fee? Because of a faulty app. Thus month the same thing is happening. There's an error message, and it will not let me pay my bill?? I have called, and the help line is ZERO help. Told me it was a service issue, and there was nothing they could do? They didn't even drop the late fee when it wasn't my issue. It was obviously the websites?",1
2023,"Sales render most items out of stock on a regular basis. Also, color options should be added per individual item instead of listing the same item in each available shade as separate items. That's just a waste of time, space, and effort, please stop doing this fam.",2
2023,"Just downloaded this to give it a shot after being prompted on their website- not worth even the 5 minutes I spent trying to make it work. It crashed every time I tried to open the ""log in"" page to access my account. Absolute trash app. It's better to stick to the browser site.",1
2023,"Terrible app. I log in most probably daily and it the all never fails to freeze up while I'm on it. By now I would think ON would be able to have someone fix all of these bugs in their app. I wish I could get on and browse without all of the freezes. Sometimes I just log off due to it causing me not to even bother purchasing anything. PLEASE fix all the ""bugs"" in this app!",1
